col_name,data_type,comment
UNETA10,string,null
WELAS10,string,null
WTELS10,string,null
WNETA10,string,null
UELAS11,string,null
UTELS11,string,null
UNETA11,string,null
WELAS11,string,null
WTELS11,string,null
WNETA11,string,null
UELAS12,string,null
UTELS12,string,null
UNETA12,string,null
WELAS12,string,null
WTELS12,string,null
WNETA12,string,null
UELAS13,string,null
UTELS13,string,null
UNETA13,string,null
WELAS13,string,null
WTELS13,string,null
WNETA13,string,null
UELAS14,string,null
UTELS14,string,null
UNETA14,string,null
WELAS14,string,null
WTELS14,string,null
WNETA14,string,null
UELAS15,string,null
UTELS15,string,null
UNETA15,string,null
WELAS15,string,null
WTELS15,string,null
WNETA15,string,null
UELAS16,string,null
UTELS16,string,null
UNETA16,string,null
WELAS16,string,null
WTELS16,string,null
WNETA16,string,null
UELAS17,string,null
UTELS17,string,null
UNETA17,string,null
WELAS17,string,null
WTELS17,string,null
WNETA17,string,null
UELAS18,string,null
UTELS18,string,null
UNETA18,string,null
WELAS18,string,null
WTELS18,string,null
WNETA18,string,null
UELAS19,string,null
UTELS19,string,null
UNETA19,string,null
WELAS19,string,null
WTELS19,string,null
WNETA19,string,null
UELAS20,string,null
UTELS20,string,null
UNETA20,string,null
WELAS20,string,null
WTELS20,string,null
WNETA20,string,null
UELAS21,string,null
UTELS21,string,null
UNETA21,string,null
WELAS21,string,null
WTELS21,string,null
WNETA21,string,null
UELAS22,string,null
UTELS22,string,null
UNETA22,string,null
WELAS22,string,null
WTELS22,string,null
WNETA22,string,null
UELAS23,string,null
UTELS23,string,null
UNETA23,string,null
WELAS23,string,null
WTELS23,string,null
WNETA23,string,null
NELAS1,string,null
NELAS2,string,null
NELAS3,string,null
NELAS4,string,null
NELAS5,string,null
NELAS6,string,null
NELAS7,string,null
NELAS8,string,null
NELAS9,string,null
NELAS10,string,null
NELAS11,string,null
NELAS12,string,null
NELAS13,string,null
NELAS14,string,null
NELAS15,string,null
NELAS16,string,null
NELAS17,string,null
NELAS18,string,null
NEELAS1,string,null
NEELAS2,string,null
NEELAS3,string,null
NEELAS4,string,null
NEELAS5,string,null
NEELAS6,string,null
NEELAS7,string,null
NEELAS8,string,null
NEELAS9,string,null
NEELAS10,string,null
NEELAS11,string,null
NEELAS12,string,null
NEELAS13,string,null
NEELAS14,string,null
NEELAS15,string,null
NEELAS16,string,null
NEELAS17,string,null
NEELAS18,string,null
MELAS1,string,null
MELAS2,string,null
MELAS3,string,null
MELAS4,string,null
MELAS5,string,null
MELAS6,string,null
MELAS7,string,null
MELAS8,string,null
MELAS9,string,null
MELAS10,string,null
MELAS11,string,null
MELAS12,string,null
MELAS13,string,null
MELAS14,string,null
MELAS15,string,null
MELAS16,string,null
MELAS17,string,null
MELAS18,string,null
MEELAS1,string,null
MEELAS2,string,null
MEELAS3,string,null
MEELAS4,string,null
MEELAS5,string,null
MEELAS6,string,null
MEELAS7,string,null
MEELAS8,string,null
MEELAS9,string,null
MEELAS10,string,null
MEELAS11,string,null
MEELAS12,string,null
MEELAS13,string,null
MEELAS14,string,null
MEELAS15,string,null
MEELAS16,string,null
MEELAS17,string,null
MEELAS18,string,null
I,string,null
DOMVOL,string,null
COMPCUB,string,null
COMPNEAR,string,null
COMPBY,string,null
COMPFAR,string,null
DRTIME1,string,null
DRTIME2,string,null
DRTIME3,string,null
DRTIME4,string,null
DRTIME5,string,null
DRVOL1,string,null
DRVOL2,string,null
DRVOL3,string,null
DRVOL4,string,null
DRVOL5,string,null
DRWVOL1,string,null
DRWVOL2,string,null
DRWVOL3,string,null
DRWVOL4,string,null
DRWVOL5,string,null
SSTRDIST,string,null
SSTRVOL,string,null
CPDIST1,string,null
CPDIST2,string,null
CPDIST3,string,null
CPDIST4,string,null
CPDIST5,string,null
CPVOL1,string,null
CPVOL2,string,null
CPVOL3,string,null
CPVOL4,string,null
CPVOL5,string,null
CPWVOL1,string,null
CPWVOL2,string,null
CPWVOL3,string,null
CPWVOL4,string,null
CPWVOL5,string,null
FARTHEST,string,null
DTDIST,string,null
DTVOL,string,null
DTWVOL,string,null
DTCOMP,string,null
PRICLOW,string,null
PRICMED,string,null
PRICHIGH,string,null
